,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
1422,0.010000000000000009,1.0,0.0,-1.0,-145.0,-0.17000000000000004,-3.0,1.0,-2.0,0.0,2.0,-1.0,-1.0,0.0,1.0,0.07,-0.06,0.66,-141.0,-40.0,-105.0,-22.0,-0.36000000000000004,-4.0,-0.31,0.0,-1.0,0.0,0.0,0.15000000000000002,2.0,1.0,15.0,-1.0,-2.0,-1.0,-0.040000000000000036,-1.0,-0.13999999999999996,-2.0,-0.5,1.0,-34.0,1.0777777777777777,,1,0.10743933114340956,0.02480928628298396,0.4437842318564782,3.6,1.5,7.5,0.7249208260780156,1
1423,-0.11999999999999997,-5.0,1.0,0.0,-197.0,-0.18000000000000005,-3.0,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,-2.0,-3.0,-0.07999999999999999,-0.04,-0.7999999999999998,-194.0,-108.0,-89.0,-7.0,-0.32000000000000006,-5.0,-0.38,0.0,-2.0,0.0,-5.0,-0.38,2.0,1.0,5.0,3.0,-4.0,-2.0,-0.08000000000000002,-2.0,-0.34,-1.0,-0.33,0.0,-42.0,1.0952380952380953,,2,0.07598829813390476,0.13333333333333353,0.03719641161534208,2.8,4.2,2.0,0.37118429085533483,2
1424,0.20000000000000007,-2.0,-1.0,-1.0,-76.0,-0.05999999999999994,-3.0,0.0,-1.0,0.0,0.0,-2.0,0.0,2.0,-4.0,-0.15,0.36,-0.08000000000000002,-77.0,-29.0,-47.0,-2.0,-0.08999999999999997,-1.0,0.07,-6.0,0.0,0.0,6.0,0.09999999999999998,0.0,2.0,4.0,1.0,8.0,9.0,0.28,-1.0,-0.13999999999999996,-1.0,0.08000000000000002,1.0,-16.0,1.0858974358974358,,1,0.15558035516600505,0.01712524634384106,0.44095855184409843,4.0,1.3636363636363638,9.75,0.8512380703852997,0
1425,1.47,3.0,3.0,2.0,188.0,0.10999999999999999,1.0,4.0,-1.0,-3.0,4.0,2.0,0.0,3.0,0.0,1.58,-0.11,2.4000000000000004,196.0,137.0,51.0,-7.0,-0.13000000000000006,-1.0,-0.5,3.0,1.0,0.0,-1.0,-0.07,-1.0,-2.0,-8.0,-2.0,1.0,0.0,-0.020000000000000018,1.0,0.35,3.0,0.22000000000000003,2.0,34.0,1.0370283124691524,,1,3.7437190197403214,0.005112790411682572,22.465130731100412,23.0,1.02,76.0,1.1561070163109457,1
1426,0.21000000000000002,1.0,1.0,1.0,227.0,0.30999999999999994,-2.0,2.0,5.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.12,0.09000000000000001,-0.12,217.0,114.0,113.0,4.0,0.42,1.0,-0.06,7.0,0.0,0.0,-2.0,-0.17999999999999994,-6.0,-1.0,-9.0,-1.0,7.0,3.0,0.08000000000000002,4.0,0.19999999999999996,1.0,-0.08000000000000002,-1.0,48.0,1.0910370210002165,,2,0.0719645859240428,0.14252370633108535,0.038805403940688474,3.1,3.725,2.0,0.2968833120683615,2
1427,0.74,2.0,0.0,0.0,86.0,0.22000000000000003,1.0,2.0,6.0,1.0,3.0,-2.0,0.0,4.0,-2.0,0.14,0.61,0.64,86.0,23.0,63.0,11.0,0.26,7.0,0.07,1.0,1.0,0.0,-1.0,0.030000000000000027,-2.0,2.0,-10.0,-3.0,13.0,0.0,0.020000000000000018,13.0,0.52,3.0,0.43,0.0,28.0,1.087474645030426,,1,0.062454157121303804,0.03270801823162904,0.6229410530343585,2.9,1.6,8.5,0.8461188803964332,0
1428,0.07,2.0,0.0,0.0,-69.0,-0.06999999999999995,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.04999999999999999,0.02,0.21999999999999997,-70.0,-47.0,-22.0,-6.0,-0.30999999999999994,-3.0,-0.3,-4.0,0.0,0.0,-4.0,-0.22999999999999998,-5.0,0.0,0.0,-3.0,-6.0,-4.0,-0.12000000000000005,-2.0,-0.19999999999999996,0.0,-0.38000000000000006,-1.0,-18.0,1.060300736497545,,2,0.23007487147045835,1.2139539573337679,0.018077081895218828,4.947368421052632,13.0,1.28,0.9354129953539844,2
1429,-0.32,-1.0,0.0,0.0,120.0,0.21999999999999997,2.0,-1.0,1.0,1.0,-4.0,2.0,-1.0,-5.0,4.0,-0.15,-0.16999999999999998,-0.4,128.0,82.0,38.0,8.0,0.26,-5.0,-0.47000000000000003,5.0,0.0,0.0,1.0,0.0,-3.0,-2.0,-10.0,3.0,10.0,3.0,0.13999999999999996,7.0,0.28,3.0,0.34,-2.0,36.0,1.0524886877828055,,2,0.9249915774116803,4.078862477894224,0.011230619357620986,10.0,34.0,1.0833333333333333,1.132872763841819,2
1430,1.87,4.0,3.0,1.0,29.0,0.050000000000000044,-4.0,1.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,1.62,0.26,2.41,26.0,9.0,20.0,-5.0,0.019999999999999907,0.0,-0.07,-5.0,-2.0,0.0,1.0,0.17000000000000004,-4.0,-1.0,2.0,-1.0,14.0,5.0,0.13999999999999996,9.0,0.8200000000000001,2.0,0.16,2.0,6.0,1.057357276869472,,1,1.1361596392064686,0.006848960998000725,9.21608854605047,14.0,1.04,41.0,1.0913777834082221,1
1431,-0.010000000000000009,1.0,0.0,0.0,72.0,0.030000000000000027,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01999999999999999,-0.03,-0.73,75.0,42.0,30.0,7.0,0.29,0.0,-0.19,2.0,1.0,0.0,2.0,0.13,1.0,0.0,-2.0,-1.0,5.0,3.0,0.10000000000000003,2.0,0.19999999999999996,-1.0,0.040000000000000036,-1.0,16.0,1.0962033462033463,,2,0.18395901984892768,0.8120583572072909,0.02775712148048949,4.2,9.25,1.3333333333333333,0.8133884682209876,2
1432,-0.16000000000000003,-3.0,0.0,1.0,-11.0,-0.020000000000000018,-4.0,1.0,-2.0,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,-0.20999999999999996,0.04999999999999999,-0.19000000000000006,-10.0,-6.0,-5.0,-5.0,-0.14,-4.0,-0.21999999999999997,3.0,-2.0,0.0,2.0,0.020000000000000018,3.0,0.0,6.0,1.0,4.0,8.0,0.15999999999999998,-4.0,-0.46,0.0,0.10000000000000009,1.0,-6.0,1.1091787439613525,,1,0.19228678152490447,0.02050995024718547,1.1523047003501201,4.5,1.25,11.5,0.9109707321633462,1
1433,-0.1,-1.0,0.0,0.0,-114.0,-0.06000000000000005,1.0,-2.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-2.0,-0.04000000000000001,-0.06,0.35,-133.0,-82.0,-32.0,-7.0,-0.020000000000000018,-1.0,-0.17,-5.0,1.0,0.0,-4.0,-0.35000000000000003,4.0,1.0,11.0,0.0,-13.0,-4.0,-0.10000000000000003,-9.0,-0.36000000000000004,-1.0,0.050000000000000044,1.0,-26.0,1.065021645021645,,1,0.06091620863466312,0.058435661117485584,0.146283338877519,2.8,2.2,3.9473684210526314,0.2976935560054957,1
1434,-0.41000000000000003,0.0,-1.0,0.0,-117.0,-0.050000000000000044,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,2.0,-0.07,-0.33999999999999997,-0.86,-122.0,-36.0,-81.0,-9.0,-0.18999999999999995,-3.0,-0.22999999999999998,0.0,0.0,0.0,3.0,0.28,-2.0,0.0,4.0,0.0,-3.0,-2.0,-0.050000000000000044,-1.0,-0.08000000000000002,-4.0,0.12,0.0,-24.0,1.0711462450592886,,0,0.03743506488634664,0.044850771403641784,0.21891522430503985,2.2,2.3,5.5,0.5631163290120434,1
